"No.","Time","Source","Destination","Protocol","Length","Info"
"39","4.085836","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=2170 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"40","4.085849","192.168.43.62","52.114.74.44","TCP","1414","[TCP Retransmission] 60963  >  443 [ACK] Seq=3530 Ack=196 Win=261888 Len=1360"
"44","4.313037","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=196 Ack=4890 Win=262400 Len=0"
"45","4.313084","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=4890 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"46","4.313084","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=6250 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"47","4.313084","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=7610 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"48","4.313084","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=8970 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"49","4.313101","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=4890 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"50","4.313114","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=6250 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"51","4.313123","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=7610 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"52","4.313132","192.168.43.62","52.114.74.44","TCP","1414","[TCP Retransmission] 60963  >  443 [ACK] Seq=8970 Ack=196 Win=261888 Len=1360"
"53","4.546867","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=196 Ack=7610 Win=262400 Len=0"
"54","4.546910","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=10330 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"55","4.546910","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=11690 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"56","4.546910","192.168.43.62","52.114.74.44","TLSv1.2","643","Application Data"
"57","4.546921","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=10330 Ack=196 Win=261888 Len=1360[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"58","4.546931","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=11690 Ack=196 Win=261888 Len=1360[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"59","4.546938","192.168.43.62","52.114.74.44","TCP","643","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=13050 Ack=196 Win=261888 Len=589"
"60","4.550438","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=196 Ack=10330 Win=262400 Len=0"
"61","4.781176","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=196 Ack=13050 Win=262400 Len=0"
"62","4.802675","52.114.74.44","192.168.43.62","TLSv1.2","481","Application Data"
"63","4.802731","192.168.43.62","52.114.74.44","TCP","54","60963  >  443 [ACK] Seq=13639 Ack=623 Win=261376 Len=0"
"64","4.802738","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 63#1] 60963  >  443 [ACK] Seq=13639 Ack=623 Win=261376 Len=0"
"65","4.958487","192.168.43.62","125.39.120.82","TCP","66","60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"66","4.958494","192.168.43.62","125.39.120.82","TCP","66","[TCP Out-Of-Order] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"67","5.958588","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"68","5.958597","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"69","7.958673","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"70","7.958683","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"71","10.013866","192.168.43.62","52.114.74.44","TLSv1.2","588","Application Data"
"72","10.013876","192.168.43.62","52.114.74.44","TCP","588","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=13639 Ack=623 Win=261376 Len=534"
"73","10.013978","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=14173 Ack=623 Win=261376 Len=1360 [TCP segment of a reassembled PDU]"
"74","10.013978","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=15533 Ack=623 Win=261376 Len=1360 [TCP segment of a reassembled PDU]"
"75","10.013978","192.168.43.62","52.114.74.44","TLSv1.2","127","Application Data"
"76","10.013987","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=14173 Ack=623 Win=261376 Len=1360"
"77","10.013998","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60963  >  443 [ACK] Seq=15533 Ack=623 Win=261376 Len=1360[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"78","10.014005","192.168.43.62","52.114.74.44","TCP","127","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=16893 Ack=623 Win=261376 Len=73"
"79","10.255031","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=623 Ack=15533 Win=262400 Len=0"
"80","10.255031","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=623 Ack=16966 Win=262400 Len=0"
"81","10.267338","52.114.74.44","192.168.43.62","TLSv1.2","479","Application Data"
"82","10.267386","192.168.43.62","52.114.74.44","TCP","54","60963  >  443 [ACK] Seq=16966 Ack=1048 Win=260864 Len=0"
"83","10.267391","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 82#1] 60963  >  443 [ACK] Seq=16966 Ack=1048 Win=260864 Len=0"
"87","11.216672","192.168.43.62","52.187.17.92","TCP","66","60965  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"88","11.216679","192.168.43.62","52.187.17.92","TCP","66","[TCP Out-Of-Order] 60965  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"89","11.284231","52.187.17.92","192.168.43.62","TCP","66","443  >  60965 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1360 WS=256 SACK_PERM=1"
"90","11.284316","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"91","11.284322","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 90#1] 60965  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"92","11.284873","192.168.43.62","52.187.17.92","TLSv1.2","251","Client Hello"
"93","11.284880","192.168.43.62","52.187.17.92","TCP","251","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=197"
"94","11.373367","52.187.17.92","192.168.43.62","TCP","1414","443  >  60965 [ACK] Seq=1 Ack=198 Win=262400 Len=1360 [TCP segment of a reassembled PDU]"
"95","11.373572","52.187.17.92","192.168.43.62","TCP","1414","443  >  60965 [ACK] Seq=1361 Ack=198 Win=262400 Len=1360 [TCP segment of a reassembled PDU]"
"96","11.373602","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=198 Ack=2721 Win=66560 Len=0"
"97","11.373607","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 96#1] 60965  >  443 [ACK] Seq=198 Ack=2721 Win=66560 Len=0"
"98","11.378072","52.187.17.92","192.168.43.62","TLSv1.2","1130","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"99","11.380130","192.168.43.62","52.187.17.92","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"100","11.380135","192.168.43.62","52.187.17.92","TCP","147","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=198 Ack=3797 Win=65536 Len=93"
"101","11.451282","52.187.17.92","192.168.43.62","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"102","11.451282","52.187.17.92","192.168.43.62","TLSv1.2","123","Application Data"
"103","11.451338","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=291 Ack=3917 Win=65280 Len=0"
"104","11.451344","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 103#1] 60965  >  443 [ACK] Seq=291 Ack=3917 Win=65280 Len=0"
"105","11.458964","192.168.43.62","52.187.17.92","TLSv1.2","141","Application Data"
"106","11.458970","192.168.43.62","52.187.17.92","TCP","141","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=291 Ack=3917 Win=65280 Len=87"
"107","11.459064","192.168.43.62","52.187.17.92","TLSv1.2","181","Application Data"
"108","11.459068","192.168.43.62","52.187.17.92","TCP","181","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=378 Ack=3917 Win=65280 Len=127"
"109","11.459143","192.168.43.62","52.187.17.92","TLSv1.2","92","Application Data"
"110","11.459148","192.168.43.62","52.187.17.92","TCP","92","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=505 Ack=3917 Win=65280 Len=38"
"111","11.459210","192.168.43.62","52.187.17.92","TCP","1414","60965  >  443 [ACK] Seq=543 Ack=3917 Win=65280 Len=1360 [TCP segment of a reassembled PDU]"
"112","11.459210","192.168.43.62","52.187.17.92","TCP","1414","60965  >  443 [ACK] Seq=1903 Ack=3917 Win=65280 Len=1360 [TCP segment of a reassembled PDU]"
"113","11.459210","192.168.43.62","52.187.17.92","TCP","1414","60965  >  443 [ACK] Seq=3263 Ack=3917 Win=65280 Len=1360 [TCP segment of a reassembled PDU]"
"114","11.459210","192.168.43.62","52.187.17.92","TLSv1.2","182","Application Data"
"115","11.459220","192.168.43.62","52.187.17.92","TCP","1414","[TCP Out-Of-Order] 60965  >  443 [ACK] Seq=543 Ack=3917 Win=65280 Len=1360"
"116","11.459229","192.168.43.62","52.187.17.92","TCP","1414","[TCP Out-Of-Order] 60965  >  443 [ACK] Seq=1903 Ack=3917 Win=65280 Len=1360[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"117","11.459234","192.168.43.62","52.187.17.92","TCP","1414","[TCP Out-Of-Order] 60965  >  443 [ACK] Seq=3263 Ack=3917 Win=65280 Len=1360[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"118","11.459238","192.168.43.62","52.187.17.92","TCP","182","[TCP Retransmission] 60965  >  443 [PSH, ACK] Seq=4623 Ack=3917 Win=65280 Len=128"
"119","11.536269","52.187.17.92","192.168.43.62","TLSv1.2","92","Application Data"
"120","11.546092","52.187.17.92","192.168.43.62","TCP","54","443  >  60965 [ACK] Seq=3955 Ack=543 Win=261888 Len=0"
"121","11.546198","52.187.17.92","192.168.43.62","TCP","54","443  >  60965 [ACK] Seq=3955 Ack=3263 Win=262400 Len=0"
"122","11.546198","52.187.17.92","192.168.43.62","TCP","54","443  >  60965 [ACK] Seq=3955 Ack=4751 Win=262400 Len=0"
"123","11.547537","52.187.17.92","192.168.43.62","TLSv1.2","109","Application Data"
"124","11.547537","52.187.17.92","192.168.43.62","TLSv1.2","109","Application Data"
"125","11.547593","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=4751 Ack=4065 Win=65280 Len=0"
"126","11.547598","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 125#1] 60965  >  443 [ACK] Seq=4751 Ack=4065 Win=65280 Len=0"
"127","11.547724","52.187.17.92","192.168.43.62","TLSv1.2","96","Application Data"
"128","11.547759","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=4751 Ack=4107 Win=66560 Len=0"
"129","11.547764","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 128#1] 60965  >  443 [ACK] Seq=4751 Ack=4107 Win=66560 Len=0"
"130","11.932310","52.187.17.92","192.168.43.62","TLSv1.2","1225","Application Data"
"131","11.959183","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"132","11.959192","192.168.43.62","125.39.120.82","TCP","66","[TCP Retransmission] 60964  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 SACK_PERM=1"
"133","11.973909","192.168.43.62","52.187.17.92","TCP","54","60965  >  443 [ACK] Seq=4751 Ack=5278 Win=65280 Len=0"
"134","11.973916","192.168.43.62","52.187.17.92","TCP","54","[TCP Dup ACK 133#1] 60965  >  443 [ACK] Seq=4751 Ack=5278 Win=65280 Len=0"
"135","20.839596","54.144.197.214","192.168.43.62","TLSv1.2","85","Application Data"
"136","20.839950","192.168.43.62","54.144.197.214","TLSv1.2","89","Application Data"
"137","20.839955","192.168.43.62","54.144.197.214","TCP","89","[TCP Retransmission] 60921  >  443 [PSH, ACK] Seq=1 Ack=32 Win=257 Len=35"
"138","20.845313","192.168.43.62","23.21.104.156","TCP","66","60966  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"139","20.845319","192.168.43.62","23.21.104.156","TCP","66","[TCP Out-Of-Order] 60966  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"140","21.145453","23.21.104.156","192.168.43.62","TCP","58","443  >  60966 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1360"
"141","21.145549","192.168.43.62","23.21.104.156","TCP","54","60966  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"142","21.145555","192.168.43.62","23.21.104.156","TCP","54","[TCP Dup ACK 141#1] 60966  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"143","21.146161","192.168.43.62","23.21.104.156","TLSv1.3","419","Client Hello"
"144","21.146167","192.168.43.62","23.21.104.156","TCP","419","[TCP Retransmission] 60966  >  443 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=365"
"145","21.157818","54.144.197.214","192.168.43.62","TCP","54","443  >  60921 [ACK] Seq=32 Ack=36 Win=282 Len=0"
"148","21.456119","23.21.104.156","192.168.43.62","TCP","54","443  >  60966 [ACK] Seq=1 Ack=366 Win=26800 Len=0"
"149","21.467678","23.21.104.156","192.168.43.62","TLSv1.3","1354","Server Hello, Change Cipher Spec, Application Data"
"150","21.467926","23.21.104.156","192.168.43.62","TCP","1354","443  >  60966 [ACK] Seq=1301 Ack=366 Win=26800 Len=1300 [TCP segment of a reassembled PDU]"
"151","21.467972","192.168.43.62","23.21.104.156","TCP","54","60966  >  443 [ACK] Seq=366 Ack=2601 Win=65280 Len=0"
"152","21.467979","192.168.43.62","23.21.104.156","TCP","54","[TCP Dup ACK 151#1] 60966  >  443 [ACK] Seq=366 Ack=2601 Win=65280 Len=0"
"153","21.474464","23.21.104.156","192.168.43.62","TCP","1354","443  >  60966 [ACK] Seq=2601 Ack=366 Win=26800 Len=1300 [TCP segment of a reassembled PDU]"
"154","21.474568","23.21.104.156","192.168.43.62","TCP","250","443  >  60966 [PSH, ACK] Seq=3901 Ack=366 Win=26800 Len=196 [TCP segment of a reassembled PDU]"
"155","21.474609","192.168.43.62","23.21.104.156","TCP","54","60966  >  443 [ACK] Seq=366 Ack=4097 Win=65280 Len=0"
"156","21.474615","192.168.43.62","23.21.104.156","TCP","54","[TCP Dup ACK 155#1] 60966  >  443 [ACK] Seq=366 Ack=4097 Win=65280 Len=0"
"157","21.476015","23.21.104.156","192.168.43.62","TLSv1.3","1089","Application Data, Application Data, Application Data"
"158","21.478028","192.168.43.62","23.21.104.156","TLSv1.3","1075","Change Cipher Spec, Application Data, Application Data"
"159","21.478038","192.168.43.62","23.21.104.156","TCP","1075","[TCP Retransmission] 60966  >  443 [PSH, ACK] Seq=366 Ack=5132 Win=64245 Len=1021"
"160","21.786646","192.168.43.62","104.118.163.101","TCP","54","60931  >  443 [FIN, ACK] Seq=1 Ack=1 Win=260 Len=0"
"161","21.786653","192.168.43.62","104.118.163.101","TCP","54","[TCP Out-Of-Order] 60931  >  443 [FIN, ACK] Seq=1 Ack=1 Win=260 Len=0"
"162","21.795767","23.21.104.156","192.168.43.62","TLSv1.3","341","Application Data"
"163","21.795905","23.21.104.156","192.168.43.62","TLSv1.3","341","Application Data"
"164","21.795947","192.168.43.62","23.21.104.156","TCP","54","60966  >  443 [ACK] Seq=1387 Ack=5706 Win=65280 Len=0"
"165","21.795953","192.168.43.62","23.21.104.156","TCP","54","[TCP Dup ACK 164#1] 60966  >  443 [ACK] Seq=1387 Ack=5706 Win=65280 Len=0"
"166","21.835496","23.21.104.156","192.168.43.62","TLSv1.3","307","Application Data"
"167","21.857060","104.118.163.101","192.168.43.62","TCP","54","443  >  60931 [FIN, ACK] Seq=32 Ack=2 Win=245 Len=0"
"168","21.857106","192.168.43.62","104.118.163.101","TCP","54","[TCP Dup ACK 160#1] 60931  >  443 [ACK] Seq=2 Ack=1 Win=260 Len=0"
"169","21.857110","192.168.43.62","104.118.163.101","TCP","54","[TCP Dup ACK 160#2] 60931  >  443 [ACK] Seq=2 Ack=1 Win=260 Len=0"
"170","21.857189","104.118.163.101","192.168.43.62","TLSv1.2","85","[TCP Fast Retransmission] , Encrypted Alert"
"171","21.857225","192.168.43.62","104.118.163.101","TCP","54","60931  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
"172","21.857230","192.168.43.62","104.118.163.101","TCP","54","60931  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
"173","21.876319","192.168.43.62","23.21.104.156","TCP","54","60966  >  443 [ACK] Seq=1387 Ack=5959 Win=65027 Len=0"
"174","21.876326","192.168.43.62","23.21.104.156","TCP","54","[TCP Dup ACK 173#1] 60966  >  443 [ACK] Seq=1387 Ack=5959 Win=65027 Len=0"
"177","22.837807","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"178","22.837815","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"179","23.268106","23.21.104.156","192.168.43.62","TCP","54","[TCP Keep-Alive ACK] 443  >  60966 [ACK] Seq=5959 Ack=1387 Win=28588 Len=0"
"180","24.269124","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"181","24.269132","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"182","24.732730","23.21.104.156","192.168.43.62","TCP","54","[TCP Keep-Alive ACK] 443  >  60966 [ACK] Seq=5959 Ack=1387 Win=28588 Len=0"
"185","25.733399","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"186","25.733407","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"187","26.206008","23.21.104.156","192.168.43.62","TCP","54","[TCP Keep-Alive ACK] 443  >  60966 [ACK] Seq=5959 Ack=1387 Win=28588 Len=0"
"193","27.207463","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"194","27.207470","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"195","27.536442","23.21.104.156","192.168.43.62","TCP","54","[TCP Keep-Alive ACK] 443  >  60966 [ACK] Seq=5959 Ack=1387 Win=28588 Len=0"
"198","28.537296","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"199","28.537305","192.168.43.62","23.21.104.156","TCP","55","[TCP Keep-Alive] 60966  >  443 [ACK] Seq=1386 Ack=5959 Win=65027 Len=1"
"201","28.647618","192.168.43.62","23.219.184.32","TCP","66","60969  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"202","28.647625","192.168.43.62","23.219.184.32","TCP","66","[TCP Out-Of-Order] 60969  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"203","28.699343","23.219.184.32","192.168.43.62","TCP","66","80  >  60969 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1360 SACK_PERM=1 WS=128"
"204","28.699427","192.168.43.62","23.219.184.32","TCP","54","60969  >  80 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"205","28.699436","192.168.43.62","23.219.184.32","TCP","54","[TCP Dup ACK 204#1] 60969  >  80 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"206","28.699562","192.168.43.62","23.219.184.32","HTTP","341","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?98247649f3f63f85 HTTP/1.1 "
"207","28.699568","192.168.43.62","23.219.184.32","TCP","341","[TCP Retransmission] 60969  >  80 [PSH, ACK] Seq=1 Ack=1 Win=66560 Len=287"
